1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,expected
0.671938,52.5,0.300012,0,0,0,0.02805,0,0,1.44996,2,0.199931,0.049983,0,0,40,100.0722
0.671926,52.5,0.300034,0,0,0,0.02804,0,0,1.449881,2,0.180838,0.049949,0,0,40,105.4319
0.671968,52.5,0.300034,0,0,0,0.027999,0,0,1.449882,2,0.165528,0.04995,0,0,40,103.7944
0.672041,52.5,0,0.3,0,0,0.027959,0,0,1.450169,2,0.2,0.050056,0,0,40,106.8693
0.671986,52.5,0,0.299978,0,0,0.028036,0,0,1.450022,2,0.180851,0.049978,0,0,40,112.4708
0.672022,52.5,0,0.3,0,0,0.027978,0,0,1.450055,2,0.165574,0.050055,0,0,40,110.8333
0.959987,52.5,0,0,0,0,0.040013,0.428641,0,2.071602,2,0.285761,0.07144,0,0,40,98.22049
0.960025,52.5,0,0,0,0,0.039975,0.428571,0,2.071667,2,0.258321,0.071508,0,0,40,102.8589
0.95995,52.5,0,0,0,0,0.04005,0.428616,0,2.071305,2,0.236532,0.071462,0,0,40,100.7375
0.97203,52.5,0,0,0,0,0.02797,0,0,1.449877,0.6,0.200045,0.050011,0,0,40,108
0.97196,52.5,0,0,0,0,0.02804,0,0,1.449857,0.6,0.180779,0.050033,0,0,40,116
0.97202,52.5,0,0,0,0,0.02798,0,0,1.45006,0.5,0.1656,0.049995,0,0,40,115
0.908893,52.5,0,0,0.04571,0,0.045398,0,0,1.322876,2,0.209952,0.047683,0,0,40,100.9162
0.888522,52.5,0,0,0.05593,0,0.055548,0,0.222448,1.61866,2,0.256896,0.058345,0,0,40,94.93678
0.908893,52.5,0,0,0.04571,0,0.045398,0,0,1.322876,2,0.209952,0.047683,0.5,65,40,115.3801
0.888522,52.5,0,0,0.05593,0,0.055548,0,0.222448,1.61866,2,0.256896,0.058345,0.5,65,40,107.2986
0.908893,52.5,0,0,0.04571,0,0.045398,0,0,1.322876,2,0.209952,0.047683,1,65,40,125.0394
0.888522,52.5,0,0,0.05593,0,0.055548,0,0.222448,1.61866,2,0.256896,0.058345,1,65,40,121.1621
0.908893,52.5,0,0,0.04571,0,0.045398,0,0,1.322876,2,0.209952,0.047683,1.5,65,40,132.2974
0.888522,52.5,0,0,0.05593,0,0.055548,0,0.222448,1.61866,2,0.256896,0.058345,1.5,65,40,130.5222
0.908893,52.5,0,0,0.04571,0,0.045398,0,0,1.322876,2,0.209952,0.047683,2,65,40,146.1612
0.888522,52.5,0,0,0.05593,0,0.055548,0,0.222448,1.61866,2,0.256896,0.058345,2,65,40,140.4818
0.908893,52.5,0,0,0.04571,0,0.045398,0,0,1.322876,2,0.209952,0.047683,2.5,65,40,155.8207
0.888522,52.5,0,0,0.05593,0,0.055548,0,0.222448,1.61866,2,0.256896,0.058345,2.5,65,40,149.5408
0.749768,42.5,0,0,0.250232,0,0,0,0,1,2.36,0.164041,0.020019,0,0,40,108.7
0.749766,42.5,0,0,0.250234,0,0,0,0,1,2.36,0.164011,0.019963,1,65,40,131.63
0.75,42.5,0,0,0.25,0,0,0,0,1,2.36,0.163826,0.019981,2,65,40,151.5
0.750239,42.5,0,0,0.249761,0,0,0,0,1,2.36,0.163636,0.02,3,65,40,158
0.449952,42.5,0,0.300286,0.249762,0,0,0,0,1,2.36,0.169685,0.020019,0,0,40,96
0.449952,42.5,0,0.300286,0.249762,0,0,0,0,1,2.36,0.169685,0.020019,2,30,40,136
0.449952,42.5,0,0.300286,0.249762,0,0,0,0,1,2.36,0.169685,0.020019,2,40,40,144
0.449952,42.5,0,0.300286,0.249762,0,0,0,0,1,2.36,0.169685,0.020019,2,50,40,130
0.449952,42.5,0,0.300286,0.249762,0,0,0,0,1,2.36,0.169685,0.020019,2,55,40,126
0.449952,42.5,0,0.300286,0.249762,0,0,0,0,1,2.36,0.169685,0.020019,2,65,40,122
0.788382,52.5,0,0,0.211618,0,0,0,0,0.724481,0.6,0.156846,0.025726,2.5,65,40,136
0.78068,52.5,0,0,0.211443,0,0.007877,0,0,0.723881,0.6,0.156716,0.025705,2.5,65,40,139
0.772803,52.5,0,0,0.211443,0,0.015755,0,0,0.723881,0.6,0.156716,0.025705,2.5,65,40,141
0.76473,52.5,0,0,0.211618,0,0.023651,0,0,0.724481,0.6,0.156846,0.025726,2.5,65,40,143
0.756846,52.5,0,0,0.211618,0,0.031535,0,0,0.724481,0.6,0.156846,0.025726,2.5,65,40,142
0.65625,52.5,0,0,0.171875,0,0.171875,0,0.45625,0.45625,0.5,0.11875,0.021875,6,50,110,168.0233
0.671926,52.5,0.300034,0,0.02804,0,0,0,0,1.449881,1.25,0.180838,0.049949,0,0,40,109.7887
0.671986,52.5,0,0.299978,0.028036,0,0,0,0,1.450022,1.25,0.180851,0.049978,0,0,40,118.3909
0.960025,52.5,0,0,0.039975,0,0,0.428571,0,2.071667,1.25,0.258321,0.071508,0,0,40,107.9319
0.97196,52.5,0,0,0.02804,0,0,0,0,1.449857,1.25,0.180779,0.050033,0,0,40,121.9495
0.544686,52.5,0,0.356326,0.098989,0,0,0,0,0.870502,0.3,0.15,0.010496,2,65,50,123
0.8,42.5,0,0,0.2,0,0,0,0,0.8,0.1,0.145,0.02,2.461538,72.22222,40,110.317
0.8,42.5,0,0,0.2,0,0,0,0,0.8,0.1,0.1725,0.02,2.461538,72.22222,40,156.1393
0.8,42.5,0,0,0.2,0,0,0,0,0.8,0.1,0.19,0.02,2.461538,72.22222,40,141.468
0.8,42.5,0,0,0.2,0,0,0,0,0.8,0.1,0.216667,0.02,2.461538,72.22222,40,141.7847
0.8,42.5,0,0,0.2,0,0,0,0,0.8,0.1,0.238333,0.02,2.461538,72.22222,40,137.8622
0.793388,52.5,0.206612,0,0,0,0,0,0,0.793388,1,0.135537,0.02314,2.461538,72.22222,40,121.4
0.793388,52.5,0.206612,0,0,0,0,0,0,0.793388,1,0.143802,0.02314,2.461538,72.22222,40,118.25
0.793388,52.5,0.206612,0,0,0,0,0,0,0.793388,1,0.15124,0.02314,2.461538,72.22222,40,113.72
0.793388,52.5,0.206612,0,0,0,0,0,0,0.793388,1,0.159504,0.02314,2.461538,72.22222,40,119.79
0.793388,52.5,0.206612,0,0,0,0,0,0,0.793388,1,0.166942,0.02314,2.461538,72.22222,40,116.2
0.793388,52.5,0.206612,0,0,0,0,0,0,0.793388,1,0.175207,0.02314,2.461538,72.22222,40,114.89
0.793388,52.5,0,0,0.206612,0,0,0,0,0.793388,1,0.175207,0.02314,2.461538,72.22222,40,123.39
0.550251,52.5,0,0.350084,0.099665,0,0,0,0,0.848409,1,0.154941,0.033501,2,65,50,135.2098
1,42.5,0,0,0,0,0,0,0,1,2.36,0.164041,0.020019,2,65,40,89.73154
0.899907,42.5,0,0,0.100093,0,0,0,0,1,2.36,0.164041,0.020019,2,65,40,106.4094
0.849861,42.5,0,0,0.150139,0,0,0,0,1,2.36,0.164041,0.020019,2,65,40,104.2953
0.799815,42.5,0,0,0.200185,0,0,0,0,1,2.36,0.164041,0.020019,2,65,40,115.3356
0.749768,42.5,0,0,0.250232,0,0,0,0,1,2.36,0.164041,0.020019,2,65,40,112.047
0.811151,52.5,0,0,0.188849,0,0,0,0,0.264376,1,0.130567,0.018282,0,0,40,146.9159
0.811119,52.5,0,0,0.188881,0,0,0.477556,0,0.436499,1,0.197819,0.010313,0,0,40,165.9813
0.811161,52.5,0,0,0.188839,0,0,1.088219,0,0.642193,1,0.283822,0.007187,0,0,40,154.486
0.869565,52.5,0,0,0.130435,0,0,0,0.104167,0.921196,3,0.147645,0.030797,2,72.22222,70.7,116.2333
0.695652,52.5,0,0.173913,0.130435,0,0,0,0.104167,0.921196,3,0.147645,0.030797,2,72.22222,70.7,121.5753
0.521739,52.5,0,0.347826,0.130435,0,0,0,0.104167,0.921196,3,0.147645,0.030797,2,72.22222,70.7,118.4247
0.347826,52.5,0,0.521739,0.130435,0,0,0,0.104167,0.921196,3,0.147645,0.030797,2,72.22222,70.7,110.616
0.173913,52.5,0,0.695652,0.130435,0,0,0,0.104167,0.921196,3,0.147645,0.030797,2,72.22222,70.7,101.6593
0.777778,52.5,0.166667,0,0.055556,0,0,0,0,1.226667,1.25,0.2,0.033333,0,0,40,106.3973
0.777778,52.5,0.166667,0,0.055556,0,0,0,0,1.226667,1.25,0.2,0.033333,0.5,65,40,116.1616
0.777778,52.5,0.166667,0,0.055556,0,0,0,0,1.226667,1.25,0.2,0.033333,1,65,40,143.771
0.777778,52.5,0.166667,0,0.055556,0,0,0,0,1.226667,1.25,0.2,0.033333,1.5,65,40,158.9226
0.777778,52.5,0.166667,0,0.055556,0,0,0,0,1.226667,1.25,0.2,0.033333,2,65,40,162.2896
0.777778,52.5,0.166667,0,0.055556,0,0,0,0,1.226667,1.25,0.2,0.033333,2.5,65,40,164.9832
0.85034,42.5,0,0,0.14966,0,0,0,0,1.828231,0.6,0.2,0.01199,0,0,50,63.25012
0.8,42.5,0,0,0.2,0,0,0,0,1.808,0.6,0.2,0.012,0,0,50,58.2197
0.750188,42.5,0,0,0.249812,0,0,0,0,1.792948,0.6,0.2,0.012003,0,0,50,60.77785
0.85034,42.5,0,0,0.14966,0,0,0,0,1.879252,0.6,0.18,0.01199,0,0,50,69.9059
0.85034,42.5,0,0,0.14966,0,0,0,0,1.777211,0.6,0.22,0.01199,0,0,50,57.01191
0.85034,42.5,0,0,0.14966,0,0,0,0,1.828231,0.6,0.2,0.014031,0,0,50,64.63861
0.85034,42.5,0,0,0.14966,0,0,0,0,1.836735,0.6,0.2,0.010034,0,0,50,60.43889
